sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
5.28,3.0,1.3,0.2
7.319999999999999,3.0,4.9,1.8
5.88,2.4,3.3,1.0
6.0,2.3,3.3,1.0
5.28,3.2,1.3,0.2
7.56,3.3,4.7,1.6
5.52,3.6,1.0,0.2
6.48,3.4,1.7,0.2
7.8,3.0,5.2,2.0
6.48,3.0,4.5,1.5
8.76,2.9,6.3,1.8
8.28,3.1,5.1,2.3
7.8,3.0,5.8,2.2
7.68,3.2,4.5,1.5
6.0,3.4,1.5,0.2
6.0,3.3,1.4,0.2
6.96,4.0,1.2,0.2
6.72,2.5,3.9,1.1
7.319999999999999,2.9,4.7,1.4
7.199999999999999,3.0,4.8,1.8
6.48,3.7,1.5,0.2
8.04,3.1,5.6,2.4
7.919999999999999,2.9,4.6,1.3
7.319999999999999,2.6,5.6,1.4
7.68,2.8,5.6,2.2
8.04,3.0,5.0,1.7
7.919999999999999,3.0,4.4,1.4
6.84,3.8,1.7,0.3
7.8,3.0,5.5,1.8
6.24,3.4,1.4,0.2
